,,,2018,2019,2020,2021,2022,difference
Cremona,:it:,:it: Cremona,23.15,25.53,22.74,21.3,21.12,-8.768898488120941
Gliwice,:pl:,:pl: Gliwice,22.99,20.62,17.9,16.97,15.8,-31.274467159634618
Katovice,:pl:,:pl: Katovice,25.38,24.06,21.76,19.76,19.09,-24.783293932230098
Kraków,:pl:,:pl: Kraków,24.09,22.24,21.43,18.75,19.1,-20.713989207139885
Milan,:it:,:it: Milan,22.22,24.84,23.6,22.17,21.22,-4.5004500450045
Padova,:it:,:it: Padova,19.2,22.03,20.98,18.39,20.24,5.4166666666666625
Poznań,:pl:,:pl: Poznań,17.72,17.0,15.47,13.81,14.99,-15.406320541760715
Tichy,:pl:,:pl: Tichy,25.09,23.18,20.03,18.74,17.52,-30.171383021123955
Venice,:it:,:it: Venice,16.54,17.52,16.33,14.34,15.65,-5.380894800483669
Verona,:it:,:it: Verona,18.72,20.41,21.02,17.34,19.44,3.8461538461538596
Vicenza,:it:,:it: Vicenza,15.82,18.04,18.51,15.56,18.09,14.34892541087231
Warsaw,:pl:,:pl: Warsaw,20.22,19.03,17.55,16.49,15.94,-21.167161226508405
